SN,Commodity,Date,Unit,Minimum,Maximum,Average
0,Tomato Big(Nepali),2013-06-16,Kg,35.0,40.0,37.5
1,Tomato Small(Local),2013-06-16,Kg,26.0,32.0,29.0
74,Tomato Big(Nepali),2013-06-17,Kg,25.0,30.0,27.5
75,Tomato Small(Local),2013-06-17,Kg,20.0,25.0,22.5
147,Tomato Big(Nepali),2013-06-18,Kg,25.0,30.0,27.5
148,Tomato Small(Local),2013-06-18,Kg,22.0,26.0,24.0
220,Tomato Big(Nepali),2013-06-19,Kg,25.0,30.0,27.5
221,Tomato Small(Local),2013-06-19,Kg,24.0,28.0,26.0
293,Tomato Big(Nepali),2013-06-20,Kg,25.0,30.0,27.5
294,Tomato Small(Local),2013-06-20,Kg,22.0,26.0,24.0
367,Tomato Big(Nepali),2013-06-21,Kg,25.0,30.0,27.5
368,Tomato Small(Local),2013-06-21,Kg,15.0,20.0,17.5
441,Tomato Big(Nepali),2013-06-25,Kg,30.0,35.0,32.5
442,Tomato Small(Local),2013-06-25,Kg,25.0,30.0,27.5
514,Tomato Big(Nepali),2013-06-26,Kg,30.0,35.0,32.5
515,Tomato Small(Local),2013-06-26,Kg,20.0,25.0,22.5
587,Tomato Big(Nepali),2013-06-27,Kg,30.0,35.0,32.5
588,Tomato Small(Local),2013-06-27,Kg,18.0,24.0,21.0
659,Tomato Big(Nepali),2013-06-28,Kg,30.0,35.0,32.5
660,Tomato Small(Local),2013-06-28,Kg,24.0,28.0,26.0
729,Tomato Big(Nepali),2013-06-30,Kg,25.0,30.0,27.5
730,Tomato Small(Local),2013-06-30,Kg,18.0,22.0,20.0
799,Tomato Big(Nepali),2013-07-01,Kg,25.0,30.0,27.5
800,Tomato Small(Local),2013-07-01,Kg,15.0,20.0,17.5
869,Tomato Big(Nepali),2013-07-02,Kg,30.0,35.0,32.5
870,Tomato Small(Local),2013-07-02,Kg,15.0,20.0,17.5
938,Tomato Big(Nepali),2013-07-03,Kg,30.0,35.0,32.5
939,Tomato Small(Local),2013-07-03,Kg,14.0,18.0,16.0
1008,Tomato Big(Nepali),2013-07-04,Kg,30.0,35.0,32.5
1009,Tomato Small(Local),2013-07-04,Kg,14.0,18.0,16.0
1078,Tomato Big(Nepali),2013-07-05,Kg,30.0,35.0,32.5
1079,Tomato Small(Local),2013-07-05,Kg,18.0,24.0,21.0
1147,Tomato Big(Nepali),2013-07-09,Kg,55.0,60.0,57.5
1148,Tomato Small(Local),2013-07-09,Kg,20.0,25.0,22.5
1217,Tomato Big(Nepali),2013-07-10,Kg,55.0,60.0,57.5
1218,Tomato Small(Local),2013-07-10,Kg,30.0,35.0,32.5
1287,Tomato Big(Nepali),2013-07-11,Kg,55.0,60.0,57.5
1288,Tomato Small(Local),2013-07-11,Kg,32.0,38.0,35.0
1356,Tomato Big(Nepali),2013-07-12,Kg,70.0,80.0,75.0
1357,Tomato Small(Local),2013-07-12,Kg,44.0,48.0,46.0
1426,Tomato Big(Nepali),2013-07-14,Kg,75.0,80.0,77.5
